name,code,lead_broker,cap_raise_price,raise_amt,due_date,0 days effective_return,0 days normal_return,30 days effective_return,30 days normal_return,60 days effective_return,60 days normal_return,90 days effective_return,90 days normal_return
True North Copper,TNC,Bell Potter Securities + Morgans Corporate,0.25,35M,01/05/2023 12:00,N/A,N/A,N/A,N/A,,-2.0,,-8.0
Impact Minerals,IPT,Ignite Equity,0.012,4m,27/04/2023 10:00,,8.33,,-8.33,,16.67,,41.67
QMines Limited,QML,Whairo Capital,0.13,2.5M,28/04/2023 12:00,,11.54,,-11.54,,-7.69,,-3.85
Mayur Resources,MRL,Evolution Capital,0.18,1.5M,28/04/2023 13:00,11.97,0.0,-20.94,-25.0,-37.11,-38.89,22.98,8.33
Peak Rare Earths Limited,PEK,Barrenjoey Markets + Canaccord Genuity,0.5,25M,28/04/2023 12:00,,9.0,,3.0,,-14.0,,-4.0
Dimerix Limited - Final Sub Underwriting Allocation,DXB,Bell Potter,0.08,20.5M,02/05/2023 11:00,18.34,12.5,-11.25,-12.5,-12.83,-13.75,-9.03,-10.0
Aura Energy Limited,AEE,Canaccord Genuity + PAC Partners,0.185,9M,01/05/2023 17:00,,2.7,,-10.81,,10.81,,5.41
IperionX Limited,IPX,Canaccord Genuity,1,18M,01/05/2023 16:30,,-1.5,,-7.0,,11.5,,5.0
Magnetic Resources NL,MAU,Novus Capital,0.45,2m,02/05/2023 15:00,25.8,15.56,25.45,15.56,30.97,20.0,103.26,66.67
GBM Resources Limited,GBZ,Henslow,0.027,1.5M,03/05/2023 12:00,,3.7,,-22.22,,-25.93,,-33.33
Bluechiip Limited,BCT,MST Financial Services,0.025,1.5M,04/05/2023 12:00,,4.0,,4.0,,-12.0,,-12.0
RareX Limited,REE,Canaccord Genuity +  Bell Potter,0.045,2M-3M,03/05/2023 14:00,31.82,15.56,0.05,-6.67,-14.03,-17.78,-3.42,-8.89
Santana Minerals Limited,SMI,Bell Potter + Euroz Hartleys,0.625,12M,03/05/2023 16:30,,6.4,,-2.4,,-11.2,,-6.4
Sunshine Gold Limited,SHN,Bell Potter,0.015,3-4M,04/05/2023 15:30,,13.33,,20.0,,0.0,,20.0
