key,name,cap,document_date,url,header,cash_flow,dollar_sign,average volume,EMA traded dollar amount,points
SPN,SPARC TECHNOLOGIES LIMITED,24194903,2023-04-28T14:09:41+1000,https://announcements.asx.com.au/asxpdf/20230428/pdf/45p4s8sf5fkp69.pdf,Quarterly activities and cashflow report,2791000.0,$A,110684,33601.74630997386,5
ID8,IDENTITII LIMITED,5532760,2023-04-27T09:03:13+1000,https://announcements.asx.com.au/asxpdf/20230427/pdf/45p1fw9s560b09.pdf,Quarterly Activities/Appendix 4C Cash Flow Report,2786000.0,$A,134566,3333.333518332442,1
CR9,CORELLA RESOURCES LTD,11627272,2023-04-28T17:11:53+1000,https://announcements.asx.com.au/asxpdf/20230428/pdf/45p5kkm1f0xxbj.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,2783000.0,$A,232328,5807.567228500116,2
WYX,WESTERN YILGARN NL,6746663,2023-04-26T21:37:32+1000,https://announcements.asx.com.au/asxpdf/20230427/pdf/45p0v9gcpkd5gt.pdf,Quarterly Report and Appendix 5B - March 2023,2780000.0,$A,77247,6595.643603406387,2
HYT,HYTERRA LTD,10092652,2023-04-26T08:13:18+1000,https://announcements.asx.com.au/asxpdf/20230426/pdf/45nzg40c75szwr.pdf,Amended Appendix 5B,2779000.0,$A,1511237,38464.39274453656,5
GLV,GLOBAL OIL & GAS LIMITED,5571794,2023-04-27T08:57:05+1000,https://announcements.asx.com.au/asxpdf/20230427/pdf/45p1dppl9dwyt7.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,2772000.0,$A,7675155,132762.41988472478,7
RCW,RIGHTCROWD LIMITED,4737453,2023-04-28T14:10:01+1000,https://announcements.asx.com.au/asxpdf/20230428/pdf/45p4rthyz0jly8.pdf,Appendix 4C and Quarterly Activities Report,2753000.0,$A,199777,3430.595211067702,1
HT8,HARRIS TECHNOLOGY GROUP LIMITED,3888761,2023-04-26T16:32:03+1000,https://announcements.asx.com.au/asxpdf/20230426/pdf/45p0f22dz9n5jz.pdf,Quarterly Activities/Appendix 4C Cash Flow Report,2747000.0,$A,186749,2339.758952728816,1
AQD,AUSQUEST LIMITED,13202388,2023-04-28T08:52:34+1000,https://announcements.asx.com.au/asxpdf/20230428/pdf/45p3fhldj7kgzs.pdf,Quarterly Activities and Cashflow Report,2746000.0,$A,268464,3997.4426565524886,2
KNO,KNOSYS LIMITED,14049015,2023-04-27T10:35:06+1000,https://announcements.asx.com.au/asxpdf/20230427/pdf/45p1x9np2j2q9d.pdf,Quarterly Activities/Appendix 4C Cash Flow Report,2745000.0,$A,80838,6068.629895226424,2
LYN,LYCAON RESOURCES LTD,7012188,2023-04-19T12:17:28+1000,https://announcements.asx.com.au/asxpdf/20230419/pdf/45nt17rftw3gjv.pdf,Quarterly Appendix 5B Cash Flow Report - March 2023,2722000.0,$A,103243,17013.693177496792,3
KOB,KOBA RESOURCES LIMITED,16866667,2023-04-28T18:52:18+1000,https://announcements.asx.com.au/asxpdf/20230428/pdf/45p5tzfznfrg2p.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,2720000.0,$A,211982,36020.76494643994,5
TKM,TREK METALS LIMITED,28970375,2023-04-28T08:48:04+1000,https://announcements.asx.com.au/asxpdf/20230428/pdf/45p3dxh7mdrjkn.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,2717000.0,$AUD,2404611,155874.97450277416,8
FRM,FARM PRIDE FOODS LIMITED,18701521,2023-04-28T14:31:29+1000,https://announcements.asx.com.au/asxpdf/20230428/pdf/45p4v9lf4txcyw.pdf,Quarterly Activities/Appendix 4C Cash Flow Report,2716000.0,$A,27630,3618.988100166239,1
TOR,TORQUE METALS LIMITED..,13487185,2023-04-26T00:21:27+1000,https://announcements.asx.com.au/asxpdf/20230426/pdf/45nz9b3vmytnkm.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,2715000.0,$A,107472,13979.15023951006,3
MRZ,MONT ROYAL RESOURCES LIMITED,6026475,2023-04-28T11:41:35+1000,https://announcements.asx.com.au/asxpdf/20230428/pdf/45p4c3dmfg1bz1.pdf,Appendix 5B - Quarterly Cash Flow Report,2710000.0,$A,250487,30281.033642094113,5
14D,1414 DEGREES LIMITED,11507186,2023-04-28T14:52:48+1000,https://announcements.asx.com.au/asxpdf/20230428/pdf/45p4xbtg1jghh2.pdf,Quarterly Activities/Appendix 4C Cash Flow Report,2704000.0,$A,123800,7164.538870995873,2
G50,GOLD 50 LIMITED,16961875,2023-04-26T08:45:26+1000,https://announcements.asx.com.au/asxpdf/20230426/pdf/45nzkz03pzlfxx.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,2704000.0,$A,31523,4628.5252252917535,2
