key,name,cap,document_date,url,header,cash,cash_unit,debt,debt_unit
XST,XSTATE RESOURCES LIMITED,3536711,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s5z0n2mqb5fr.pdf,June 2023 Quarterly Activities and Cash Flow Report,118,$A’000,Unused,$A’000
DMG,DRAGON MOUNTAIN GOLD LIMITED,3552045,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s5qwjt9l3n00.pdf,Quarterly Activity and Cashflow Statement,694,$A’000,-,$A’000
PIM,PINNACLE MINERALS LIMITED,3564770,2023-07-26,https://announcements.asx.com.au/asxpdf/20230726/pdf/05ryx8swcnz9d4.pdf,Quarterly Activity and Cashflow Report,"2,423",$A’000,Unused,$A’000
CSF,CATALANO SEAFOOD LTD,3605580,2023-07-19,https://announcements.asx.com.au/asxpdf/20230719/pdf/05rscw2hgvfwxt.pdf,Quarterly Cashflow Report,556,$A’000,994,$A’000
ANR,ANATARA LIFESCIENCES LTD,3657682,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s5k920lp3xh6.pdf,Appendix 4C & Q4 FY23 Activities Report,351,$A’000,-,$A’000
OCT,OCTAVA MINERALS LIMITED,3691654,2023-07-27,https://announcements.asx.com.au/asxpdf/20230727/pdf/05s0snpjpj5d1h.pdf,June Quarter Activities Report & Appendix 5B,"3,361",$A’000,-,$A’000
DM1,DESERT METALS LIMITED,3699595,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s4tkzxdwbdm7.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,"1,969",$A’000,-,$A’000
C29,C29 METALS LIMITED,3710386,2023-07-28,https://announcements.asx.com.au/asxpdf/20230728/pdf/05s1y4796gxvh6.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,"1,306",$A’000,-,$A’000
KNB,KOONENBERRY GOLD LIMITED,3712222,2023-07-25,https://announcements.asx.com.au/asxpdf/20230725/pdf/05rxzrk333srql.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,"1,908",$A’000,-,$A’000
ENT,ENTERPRISE METALS LIMITED,3747355,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s5vvyhx184vf.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,317,$A’000,Unused,$A’000
CBY,CANTERBURY RESOURCES LIMITED,3757612,2023-07-28,https://announcements.asx.com.au/asxpdf/20230728/pdf/05s265bkmgcp1w.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,295,$A’000,-,$A’000
IGN,IGNITE LIMITED,3762451,2023-07-24,https://announcements.asx.com.au/asxpdf/20230725/pdf/05rxmtf5gvltkg.pdf,Quarterly Activities/Appendix 4C Cash Flow Report,234,$A’000,"2,008",$A’000
DAL,DALAROO METALS LTD,3777200,2023-07-28,https://announcements.asx.com.au/asxpdf/20230728/pdf/05s1l7nhyn97wj.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,843,$A’000,-,$A’000
ACS,ACCENT RESOURCES NL,3785018,2023-07-27,https://announcements.asx.com.au/asxpdf/20230727/pdf/05s08wdjx5tqbq.pdf,Quarterly Appendix 5B Cash Flow Report,"7,790",$A’000,"21,005",$A’000
OMX,ORANGE MINERALS NL,3815657,2023-07-30,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s3r45z71xx28.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,"2,861",$A’000,-,$A’000
KLI,KILLI RESOURCES LIMITED,3822003,2023-07-28,https://announcements.asx.com.au/asxpdf/20230728/pdf/05s1nyk6h8pn2z.pdf,Quarterly Activities Report and Appendix 5B,"1,778",$A’000,-,$A’000
ZMI,ZINC OF IRELAND NL,3836597,2023-07-25,https://announcements.asx.com.au/asxpdf/20230725/pdf/05rylpf4hzztg1.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,"1,491",$A’000,-,$A’000
SGC,SACGASCO LIMITED,3867914,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s5s2wc52368x.pdf,June 2023 Quarterly Activities and Cash Flow Report,821,$A’000,"1,000",
DMM,DMC MINING LIMITED.,3893400,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s58gtqfsjtqf.pdf,Appendix 5B Cashflow Report - June 2023,"1,652",$A’000,-,$A’000
LRD,LORD RESOURCES LIMITED,3922066,2023-07-25,https://announcements.asx.com.au/asxpdf/20230726/pdf/05rywk9jvbp0bv.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,"2,579",$A’000,Unused,$A’000
RC1,REDCASTLE RESOURCES LIMITED,3939410,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s53qxkh937vj.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,"2,040",$A’000,-,$A’000
