key,name,cap,document_date,url,header,cash_flow,dollar_sign,debt_flow
IGN,IGNITE LIMITED,3762451,2023-07-24,https://announcements.asx.com.au/asxpdf/20230725/pdf/05rxmtf5gvltkg.pdf,Quarterly Activities/Appendix 4C Cash Flow Report,234000.0,$A,2008000.0
DAL,DALAROO METALS LTD,3777200,2023-07-28,https://announcements.asx.com.au/asxpdf/20230728/pdf/05s1l7nhyn97wj.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,843000.0,$A,0.0
ACS,ACCENT RESOURCES NL,3785018,2023-07-27,https://announcements.asx.com.au/asxpdf/20230727/pdf/05s08wdjx5tqbq.pdf,Quarterly Appendix 5B Cash Flow Report,7790000.0,$A,21005000.0
OMX,ORANGE MINERALS NL,3815657,2023-07-30,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s3r45z71xx28.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,2861000.0,$A,0.0
KLI,KILLI RESOURCES LIMITED,3822003,2023-07-28,https://announcements.asx.com.au/asxpdf/20230728/pdf/05s1nyk6h8pn2z.pdf,Quarterly Activities Report and Appendix 5B,1778000.0,$A,0.0
ZMI,ZINC OF IRELAND NL,3836597,2023-07-25,https://announcements.asx.com.au/asxpdf/20230725/pdf/05rylpf4hzztg1.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,1491000.0,$A,0.0
SGC,SACGASCO LIMITED,3867914,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s5s2wc52368x.pdf,June 2023 Quarterly Activities and Cash Flow Report,821000.0,$A,check
DMM,DMC MINING LIMITED.,3893400,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s58gtqfsjtqf.pdf,Appendix 5B Cashflow Report - June 2023,1652000.0,$A,0.0
LRD,LORD RESOURCES LIMITED,3922066,2023-07-25,https://announcements.asx.com.au/asxpdf/20230726/pdf/05rywk9jvbp0bv.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,2579000.0,$A,check
RC1,REDCASTLE RESOURCES LIMITED,3939410,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s53qxkh937vj.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,2040000.0,$A,0.0
WGR,WESTERN GOLD RESOURCES LIMITED.,3988160,2023-07-27,https://announcements.asx.com.au/asxpdf/20230727/pdf/05s13p50cp3qn3.pdf,Quarterly Activities and Cash Flow Reports,659000.0,$A,0.0
CPO,CULPEO MINERALS LIMITED,4030512,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s4759r70263t.pdf,Quarterly Cashflow Report,335000.0,$A,331000.0
LVE,LOVE GROUP GLOBAL LTD,4053417,2023-07-16,https://announcements.asx.com.au/asxpdf/20230717/pdf/05rp92csv3ks54.pdf,Quarterly Update and Appendix 4C,2092000.0,$A,0.0
OPL,OPYL LIMITED,4103808,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s52vpf6kfpqc.pdf,Opyl - Business Update & Appendix 4C,452000.0,$A,check
HT8,HARRIS TECHNOLOGY GROUP LIMITED,4187897,2023-07-23,https://announcements.asx.com.au/asxpdf/20230724/pdf/05rwk474vrqw0w.pdf,Quarterly Activities/Appendix 4C Cash Flow Report,1766000.0,$A,2252000.0
AVW,AVIRA RESOURCES LTD,4267580,2023-07-26,https://announcements.asx.com.au/asxpdf/20230726/pdf/05rz5mhs8jbgfb.pdf,Quarterly Activities Report and Appendix 5B,1030000.0,$A,0.0
AAP,AUSTRALIAN AGRICULTURAL PROJECTS LIMITED,4271393,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s54lsxvft9rd.pdf,Quarterly Update and Appendix 4C - June 2023,229000.0,$A,6809000.0
NFL,NORFOLK METALS LIMITED,4290000,2023-07-28,https://announcements.asx.com.au/asxpdf/20230728/pdf/05s27bry2rmy7d.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,3210000.0,$A,0.0
AIV,ACTIVEX LIMITED,4310052,2023-07-28,https://announcements.asx.com.au/asxpdf/20230728/pdf/05s23l1bp1t811.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,680000.0,$A,2156000.0
TG1,TECHGEN METALS LTD,4321424,2023-07-27,https://announcements.asx.com.au/asxpdf/20230728/pdf/05s1ksnz40rpzr.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,1613000.0,$A,0.0
PHL,PROPELL HOLDINGS LIMITED,4332799,2023-07-28,https://announcements.asx.com.au/asxpdf/20230728/pdf/05s20ysydgndst.pdf,Quarterly Activities/Appendix 4C Cash Flow Report,646000.0,$A,5284000.0
EMU,EMU NL,4350064,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s5n17kch0ynv.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,1147000.0,$A,0.0
FAU,FIRST AU LIMITED,4355980,2023-07-28,https://announcements.asx.com.au/asxpdf/20230728/pdf/05s24z095d1fgy.pdf,Quarterly Activities and Cash Flow Reports,745000.0,$A,0.0
CMO,COSMO METALS LIMITED,4356488,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s3z1g46104g4.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,612000.0,$A,0.0
IEQ,INTERNATIONAL EQUITIES CORPORATION LIMITED.,4359602,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s5df14vkmwp8.pdf,Quarterly Activities/Appendix 4C Cash Flow Report,1536000.0,$A,19274000.0
TYM,TYMLEZ GROUP LIMITED,4368781,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s44rs7hflm49.pdf,Quarterly Activities/Appendix 4C Cash Flow Report,468000.0,$A,80000.0
SQX,SQX RESOURCES LIMITED,4375000,2023-07-24,https://announcements.asx.com.au/asxpdf/20230724/pdf/05rwnswwnc28xs.pdf,Quarterly Activities and Cashflow Reports,2966000.0,$A,0.0
GCR,GOLDEN CROSS RESOURCES LTD,4389024,2023-07-28,https://announcements.asx.com.au/asxpdf/20230728/pdf/05s2t7779p7n6g.pdf,Quarterly Activates Report and Appendix 5B,55000.0,$A,5144000.0
VAR,VARISCAN MINES LIMITED,4394047,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s4z4jnrtt8h0.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,1016000.0,$A,0.0
NMR,NATIVE MINERAL RESOURCES HOLDINGS LIMITED,4408946,2023-07-26,https://announcements.asx.com.au/asxpdf/20230726/pdf/05rz2kcwg90985.pdf,Appendix 5B Cashflow Report,306000.0,$A,check
NRX,NORONEX LIMITED,4412678,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s5gr9kv6y7vm.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,393000.0,$A,0.0
CT1,CONSTELLATION TECHNOLOGIES LIMITED,4413601,2023-07-28,https://announcements.asx.com.au/asxpdf/20230728/pdf/05s25gx3qsxm2j.pdf,Quarterly Activities/Appendix 4C Cash Flow Report,1097000.0,$A,0.0
