"ASX code","Company name","GICs industry group","Listing date","Market Cap"
"BGE","BRIDGE SAAS LIMITED","Software & Services","06/10/2022",2434637
"BGL","BELLEVUE GOLD LIMITED","Materials","20/12/2005",1401422616
"BGP","BRISCOE GROUP AUSTRALASIA LIMITED","Consumer Discretionary Distribution & Retail","20/07/2017",955665188
"BGT","BIO-GENE TECHNOLOGY LTD","Materials","29/11/2017",13985632
"BHD","BENJAMIN HORNIGOLD LIMITED","Not Applic","12/05/2017",5434929
"BHP","BHP GROUP LIMITED","Materials","13/08/1885",225175723714
"BIM","BINDI METALS LIMITED","Materials","28/06/2022",5486250
"BIO","BIOME AUSTRALIA LIMITED","Household & Personal Products","30/11/2021",14934128
"BIR","BIR FINANCIAL LIMITED","Financial Services","31/07/2006",21207355
"BIS","BISALLOY STEEL GROUP LIMITED","Materials","23/06/2003",84935600
"BIT","BIOTRON LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","24/01/2001",22548623
"BKG","BOOKTOPIA GROUP LIMITED","Consumer Discretionary Distribution & Retail","03/12/2020",21977488
"BKI","BKI INVESTMENT COMPANY LIMITED","Not Applic","12/12/2003",1357908392
"BKL","BLACKMORES LIMITED","Household & Personal Products","02/05/1985",1834389387
"BKT","BLACK ROCK MINING LIMITED","Materials","10/12/2003",118238650
"BKW","BRICKWORKS LIMITED","Materials","30/06/1962",4176071984
"BKY","BERKELEY ENERGIA LIMITED","Energy","16/09/2003",234043275
"BLD","BORAL LIMITED.","Materials","21/02/2000",4401322792
"BLG","BLUGLASS LIMITED","Semiconductors & Semiconductor Equipment","22/09/2006",59593781
"BLU","BLUE ENERGY LIMITED.","Energy","13/10/1994",40721419
"BLX","BEACON LIGHTING GROUP LIMITED","Consumer Discretionary Distribution & Retail","15/04/2014",338017415
"BLY","BOART LONGYEAR GROUP LTD","Materials","05/04/2007",415768182
"BLZ","BLAZE MINERALS LIMITED","Energy","12/09/1996",10065181
"BM8","BATTERY AGE MINERALS LTD","Materials","04/11/2020",35404587
"BME","BLACK MOUNTAIN ENERGY LTD","Energy","23/12/2021",7664484
"BMG","BMG RESOURCES LIMITED","Materials","12/05/2004",6938769
"BMH","BAUMART HOLDINGS LIMITED","Capital Goods","19/06/2015",14474476
"BML","BOAB METALS LIMITED","Materials","15/07/2004",27914043
"BMM","BALKAN MINING AND MINERALS LIMITED","Materials","14/07/2021",11298323
"BMN","BANNERMAN ENERGY LTD","Energy","28/04/2005",238559396
"BMO","BASTION MINERALS LIMITED","Materials","16/03/2021",4304113
"BMR","BALLYMORE RESOURCES LIMITED","Materials","03/09/2021",19005644
"BMT","BEAMTREE HOLDINGS LIMITED","Health Care Equipment & Services","06/06/2019",62471917
